                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.3.0"                    "x86_64-macos-20.9.1"                                 "CRMATH"                               "20210331"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208                                      209                                      210                                      211                                      212                                      213                                      214                                      215                                      216                                      217                                      218                                      219                                      220                                      221                                      222                                      223                                      224                                      225                                      226                                      227                                      228                                      229                                      230                                      231                                      232                                      233                                      234                                      235                                      236                                      237                                      238                                      239                                      240                                      241                                      242                                      243                                      244                                      245                                      246                                      247                                      248                                      249                                      250                                      251                                      252                                      253                                      254                                      255                                      256                                      257                                      258                                      259                                      260                                      261                                      262                                      263                                      264                                      265                                      266                                      267                                      268                                      269                                      270                                      271                                      272                                      273                                      274                                      275                                      276                                      277                                      278                                      279                                      280                                      281                                      282                                      283                                      284                                      285                                      286 
                            model_number                                num_zones                                 star_age                             star_age_sec                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                         mix_relr_type_11                          mix_relr_top_11                         mix_relr_type_12                          mix_relr_top_12                         mix_relr_type_13                          mix_relr_top_13                         mix_relr_type_14                          mix_relr_top_14                         mix_relr_type_15                          mix_relr_top_15                         mix_relr_type_16                          mix_relr_top_16                         mix_relr_type_17                          mix_relr_top_17                         mix_relr_type_18                          mix_relr_top_18                         mix_relr_type_19                          mix_relr_top_19                         mix_relr_type_20                          mix_relr_top_20                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                        burn_relr_type_11                         burn_relr_top_11                        burn_relr_type_12                         burn_relr_top_12                        burn_relr_type_13                         burn_relr_top_13                        burn_relr_type_14                         burn_relr_top_14                        burn_relr_type_15                         burn_relr_top_15                        burn_relr_type_16                         burn_relr_top_16                        burn_relr_type_17                         burn_relr_top_17                        burn_relr_type_18                         burn_relr_top_18                        burn_relr_type_19                         burn_relr_top_19                        burn_relr_type_20                         burn_relr_top_20                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Lneu                             log_Lneu_nuc                          log_Lneu_nonnuc                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    photo                                    pnhe4                                    other                             he_core_mass                              c_core_mass                            c_core_radius                               c_core_lgT                             c_core_lgRho                                 c_core_L                                 c_core_v                             c_core_omega                                 c_core_k                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                        dynamic_timescale                             kh_timescale                           mdot_timescale                            nuc_timescale                                 log_Teff                            photosphere_L                        photosphere_log_r                       photosphere_cell_k                      photosphere_opacity                     photosphere_v_div_cs                                    log_L                                   radius                                    log_R                                 log_R_cm                                    log_g                                 log_Ledd                           log_L_div_Ledd                   log_surf_optical_depth                                   v_surf                        v_div_csound_surf                         v_div_csound_max            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                            surf_escape_v                          v_wind_Km_per_s                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                              center_zbar                           center_entropy                              max_entropy                    compactness_parameter                                  species                                center_h1                               center_he4                               center_c12                               center_o16                              center_fe56                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                             surface_fe56                            total_mass_h1                           total_mass_he3                           total_mass_he4                           total_mass_c12                           total_mass_n14                           total_mass_o16                          total_mass_ne20                          total_mass_mg24                               shock_mass                             shock_radius                           shock_velocity                           shock_v_div_cs                                  shock_k                             total_energy              total_radial_kinetic_energy                              num_retries                              num_backups                                num_iters                                   mu_int                                   mu_tot                                  kap_ave 
                                    1003                                     1774                  5.7128503414810322E+004                  1.8028698791260403E+012                  2.9589942292587068E+000                  1.4999474967092482E+001                  3.4474754508090186E+001                 -9.3977717783194379E+000                  5.5849309336829354E+000                                        1                  3.7234176169071109E-001                                        3                  4.7341183498805406E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        5                  9.2513498060422861E-002                                        4                  2.3112056462608954E-001                                        3                  3.6522635971315542E-001                                        2                  7.1560479791307474E-001                                        1                  7.9481971203771506E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        1                  2.7913724134089324E-001                                        3                  3.1475726249251756E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        5                  1.5800029810632460E-001                                        4                  2.2598766865062087E-001                                        3                  2.7660079198691867E-001                                        2                  4.1037851693480143E-001                                        1                  4.5184262204634751E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.3937601737706977E+000                 -2.2322383737247769E+001                 -1.1138109839567303E+001                  4.3937601737706977E+000                  3.2517017119915166E+000                  3.2517015425661446E+000                 -3.1571042366846194E+000                  2.5860130901662868E+000                  4.3869455784613569E+000                 -2.2322383737247769E+001                 -1.7581231437635047E+001                 -1.8742616663302112E+001                 -2.5501664234540208E+001                 -7.4587369967734276E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5965342278985579E+004                  6.5877644382763930E+004                  3.7484164562853363E+010                  6.2980232419991419E+006                  4.5922864708495235E+000                  2.3816163247964279E+004                  5.2712179401444692E-001                                        1                  1.7688381794569654E+000                  0.0000000000000000E+000                  4.3768717985217336E+000                  3.3660595427822284E+000                  5.2712179401444692E-001                  1.1369718553719206E+001                  4.5597218229142307E+000                  5.0921242425646973E+000                 -7.1525244404296373E-001                 -1.7609125905568127E-001                  7.7478166668162318E-002                  2.3432771099231245E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3038726814520781E+008                  2.2732441459680339E-001                  7.6532580712020888E+000                  1.1806805305269052E+000                  1.7024386676073327E+001                  1.1806805305269052E+000                  7.6532580712020888E+000                  5.9449466742879720E-001                  8.7498793204082992E-001                  1.2308251276957787E+000                  1.0769571331864198E+000                  2.2641448982095401E+001                  4.5464047850273985E+001                  5.3927231592223960E-003                                        8                  7.4997585900724628E-001                  2.4992456269054913E-001                  7.8562842188291402E-007                  2.1410333831798705E-005                  0.0000000000000000E+000                  7.4998872645490577E-001                  2.5562114240441045E-005                  2.4988571143085411E-001                  1.7208036628528076E-005                  5.0407926026592848E-006                  4.6802246398865819E-005                  1.0497302391669316E-005                  2.0451621978266554E-005                  0.0000000000000000E+000                  1.1249376297853599E+001                  1.5673434705645457E-004                  3.7484418478813644E+000                  1.2203340425939549E-004                  3.9214823691655000E-004                  5.2168775296428463E-004                  1.5745402444584375E-004                  3.0676359189944790E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                 -1.5703236322481861E+050                  0.0000000000000000E+000                                        0                                        0                                        3                  5.9685527180513764E-001                  1.7808344247185764E+034                  5.3543992221314141E-001 
                                    1004                                     1785                  5.8220384833364114E+004                  1.8373276366975037E+012                  3.0381754753063319E+000                  1.4999474553036446E+001                  3.4474754496101610E+001                 -9.4211163565318294E+000                  5.7894470545746968E+000                                        1                  3.8597665765583100E-001                                        3                  4.8729652741454771E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        5                  9.2513500614229471E-002                                        4                  2.3112057100610350E-001                                        3                  3.6639233234131952E-001                                        2                  7.1424181132873787E-001                                        1                  7.9445734190360529E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        1                  2.8696030003852330E-001                                        3                  3.2291326074425714E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        5                  1.5972880718356511E-001                                        4                  2.2842013947956846E-001                                        3                  2.7993860034009893E-001                                        2                  4.1305895621372235E-001                                        1                  4.5484299685274598E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.3923197100598141E+000                 -2.2357842838662854E+001                 -9.8999999999999986E+001                  4.3923197100598141E+000                  3.2502777387952246E+000                  3.2502775699828730E+000                 -3.1601024376264215E+000                  2.5743893537593734E+000                  4.3856642599793263E+000                 -2.2357842838662854E+001                 -1.7592362120714199E+001                 -1.8755628780352076E+001                 -2.5554438866448589E+001                 -7.4716715961585976E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5789186853186397E+004                  6.8171075673375235E+004                  3.9554181504126991E+010                  6.4692515615887819E+006                  4.5909801812517594E+000                  2.3185795775968760E+004                  5.2390947705577184E-001                                        1                  1.7883205997206821E+000                  0.0000000000000000E+000                  4.3652220062133278E+000                  3.3412538874662281E+000                  5.2390947705577184E-001                  1.1366506236760532E+001                  4.5661464448430111E+000                  5.0869049380670885E+000                 -7.2168293185376109E-001                 -1.7609125905568127E-001                  6.5774775742943450E-002                  2.0021526281069950E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3087037252254443E+008                  2.1941741571259843E-001                  7.6526266715783562E+000                  1.1759812279218278E+000                  1.7019284579577008E+001                  1.1759812279218278E+000                  7.6526266715783562E+000                  5.9456112735550026E-001                  8.7496965740294919E-001                  1.2308665945275337E+000                  1.0769709225224910E+000                  2.2659433801274819E+001                  4.5345748446024999E+001                  5.3744475700493134E-003                                        8                  7.4993930953172450E-001                  2.4996127507489507E-001                  8.0303160949568895E-007                  2.0125473251466537E-005                  0.0000000000000000E+000                  7.4998872645490555E-001                  2.5562114240441038E-005                  2.4988571143085395E-001                  1.7208036628528056E-005                  5.0407926026592832E-006                  4.6802246398865792E-005                  1.0497302391669313E-005                  2.0451621978266570E-005                  0.0000000000000000E+000                  1.1249102957538835E+001                  1.5477873201676803E-004                  3.7487183780479336E+000                  1.2091579189680260E-004                  4.0629374014832876E-004                  5.0701158210911463E-004                  1.5745402009937238E-004                  3.0676358343133036E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                 -1.5683474506430556E+050                  0.0000000000000000E+000                                        0                                        0                                        3                  5.9686485296900926E-001                  1.7808629628344917E+034                  5.4476183852597271E-001 
